Order#,Member ID,Comment,Amount,Status,Paid at
DB92A898,CITANZ-0474,Membership extended to 03/06/2025,$30.00,Captured,"Jun 3, 2024, 9:08 PM"
28CD1E4E,CITANZ-0473,Membership extended to 01/06/2025,$30.00,Captured,"Jun 1, 2024, 10:12 PM"
2724D9E4,CITANZ-0472,Membership extended to 31/05/2025,$30.00,Captured,"May 31, 2024, 10:16 PM"
2594F0BD,CITANZ-0471,Membership extended to 31/05/2025,$60.00,Captured,"May 31, 2024, 4:11 PM"
A64CAD9D,CITANZ-0470,Membership extended to 30/05/2025,$30.00,Captured,"May 30, 2024, 3:50 PM"
0D728D58,CITANZ-0469,Membership extended to 29/05/2025,$60.00,Captured,"May 29, 2024, 11:48 PM"
863020B1,CITANZ-0468,Membership extended to 28/05/2025,$30.00,Captured,"May 28, 2024, 11:15 AM"
8D28751E,CITANZ-0362,Membership extended to 28/05/2025,$30.00,Captured,"May 28, 2024, 10:11 AM"
E0CB5170,CITANZ-0467,Membership extended to 25/05/2025,$60.00,Captured,"May 25, 2024, 4:26 PM"
2DD73466,CITANZ-0352,Membership extended to 23/05/2025,$60.00,Captured,"May 23, 2024, 12:30 PM"
279B1F62,CITANZ-0358,Membership extended to 23/05/2025,$60.00,Captured,"May 23, 2024, 6:48 AM"
5502687B,CITANZ-0466,Membership extended to 21/05/2025,$60.00,Captured,"May 21, 2024, 3:05 PM"
8AB9080C,CITANZ-0353,Membership extended to 21/05/2025,$30.00,Captured,"May 21, 2024, 2:02 PM"
E42A8E8D,CITANZ-0361,Membership extended to 25/05/2025,$60.00,Captured,"May 18, 2024, 9:54 AM"
2D22F624,CITANZ-0287,Membership extended to 24/05/2025,$60.00,Captured,"May 17, 2024, 5:37 PM"
2189BCAF,CITANZ-0465,Membership extended to 14/05/2025,$60.00,Captured,"May 14, 2024, 6:51 PM"
1236164E,CITANZ-0464,Membership extended to 14/05/2025,$60.00,Captured,"May 14, 2024, 1:40 PM"
B0CFF7D9,CITANZ-0359,Membership extended to 21/05/2025,$60.00,Captured,"May 14, 2024, 8:05 AM"
EB23E84F,CITANZ-0463,Membership extended to 13/05/2025,$30.00,Captured,"May 13, 2024, 8:57 PM"
7FE6B9D5,CITANZ-0462,Membership extended to 13/05/2025,$30.00,Captured,"May 13, 2024, 8:43 PM"
C3BB3D4C,CITANZ-0339,Membership extended to 10/05/2025,$60.00,Captured,"May 10, 2024, 6:38 PM"
859DE283,CITANZ-0461,Membership extended to 10/05/2025,$30.00,Captured,"May 10, 2024, 1:52 PM"
1340771A,CITANZ-0460,Membership extended to 10/05/2025,$30.00,Captured,"May 10, 2024, 12:33 PM"
1CA06A6C,CITANZ-0459,Membership extended to 10/05/2025,$30.00,Captured,"May 10, 2024, 11:15 AM"
70DC0B77,CITANZ-0458,Membership extended to 09/05/2025,$60.00,Captured,"May 9, 2024, 6:18 AM"
0FF68863,CITANZ-0288,Membership extended to 26/05/2025,$60.00,Captured,"May 2, 2024, 8:48 PM"
1C1FC451,CITANZ-0285,Membership extended to 08/05/2025,$60.00,Captured,"May 1, 2024, 9:26 AM"
40619356,CITANZ-0159,Membership extended to 28/04/2025,$60.00,Captured,"Apr 28, 2024, 2:26 PM"
48B8D2D1,CITANZ-0457,Membership extended to 25/04/2025,$60.00,Captured,"Apr 25, 2024, 7:27 PM"
9E0B5CED,CITANZ-0456,Membership extended to 22/04/2025,$30.00,Captured,"Apr 22, 2024, 12:40 PM"
BA070BC5,CITANZ-0455,Membership extended to 20/04/2025,$30.00,Captured,"Apr 20, 2024, 7:53 PM"
A422E530,CITANZ-0454,Membership extended to 19/04/2025,$60.00,Captured,"Apr 19, 2024, 10:06 PM"
3253EFB1,CITANZ-0453,Membership extended to 19/04/2025,$30.00,Captured,"Apr 19, 2024, 9:24 PM"
108CB64D,CITANZ-0452,Membership extended to 19/04/2025,$30.00,Captured,"Apr 19, 2024, 9:18 PM"
00329137,CITANZ-0451,Membership extended to 19/04/2025,$30.00,Captured,"Apr 19, 2024, 5:17 PM"
EBBE70B7,CITANZ-0450,Membership extended to 19/04/2025,$60.00,Captured,"Apr 19, 2024, 4:44 PM"
4FB21FDB,CITANZ-0449,Membership extended to 19/04/2025,$30.00,Captured,"Apr 19, 2024, 1:19 PM"
69A4A7BD,CITANZ-0448,Membership extended to 19/04/2025,$60.00,Captured,"Apr 19, 2024, 12:51 PM"
9B055CBD,CITANZ-0447,Membership extended to 18/04/2025,$60.00,Captured,"Apr 18, 2024, 8:27 PM"
D3841EA8,CITANZ-0446,,$60.00,Captured,"Apr 18, 2024, 9:16 AM"
C82D2678,CITANZ-0445,Membership extended to 17/04/2025,$30.00,Captured,"Apr 17, 2024, 9:47 PM"
52CE407E,CITANZ-0444,Membership extended to 17/04/2025,$30.00,Captured,"Apr 17, 2024, 8:13 PM"
AB1D115E,,Membership extended to 15/04/2025,$60.00,Captured,"Apr 15, 2024, 10:36 AM"
4A2AD56A,CITANZ-0442,Membership extended to 15/04/2025,$60.00,Captured,"Apr 15, 2024, 12:07 AM"
1EA2B869,CITANZ-0441,Membership extended to 14/04/2025,$30.00,Captured,"Apr 14, 2024, 11:33 PM"
70A74721,CITANZ-0440,Membership extended to 14/04/2025,$60.00,Captured,"Apr 14, 2024, 2:19 PM"
81418E5B,CITANZ-0329,Membership extended to 13/04/2025,$60.00,Captured,"Apr 13, 2024, 9:34 PM"
5532C9CB,CITANZ-0439,Membership extended to 13/04/2025,$30.00,Captured,"Apr 13, 2024, 8:41 PM"
AB3DF27D,CITANZ-0438,Membership extended to 11/04/2025,$30.00,Captured,"Apr 11, 2024, 9:25 AM"
2B7FFE68,CITANZ-0437,Membership extended to 08/04/2025,$30.00,Captured,"Apr 8, 2024, 10:54 AM"
76700306,CITANZ-0436,Membership extended to 08/04/2025,$30.00,Captured,"Apr 8, 2024, 8:39 AM"
985B0825,CITANZ-0435,Membership extended to 08/04/2025,$30.00,Captured,"Apr 8, 2024, 6:43 AM"
5926BF39,CITANZ-0434,Membership extended to 05/04/2025,$60.00,Captured,"Apr 5, 2024, 11:16 AM"
674CF85B,CITANZ-0433,Membership extended to 03/04/2025,$30.00,Captured,"Apr 3, 2024, 6:47 PM"
8D3752AC,CITANZ-0432,Membership extended to 01/04/2025,$30.00,Captured,"Apr 1, 2024, 1:51 PM"
7402FBB2,CITANZ-0431,Membership extended to 27/03/2025,$30.00,Captured,"Mar 27, 2024, 8:25 PM"
0A2F03CE,CITANZ-0430,Membership extended to 25/03/2025,$60.00,Captured,"Mar 25, 2024, 9:49 PM"
2B5A92A7,CITANZ-0429,Membership extended to 21/03/2025,$30.00,Captured,"Mar 21, 2024, 9:35 AM"
3FB00641,CITANZ-0428,Membership extended to 14/03/2025,$60.00,Captured,"Mar 14, 2024, 5:41 PM"
E2DBF28C,CITANZ-0334,Membership extended to 11/03/2025,$30.00,Captured,"Mar 11, 2024, 11:15 AM"
86A2384D,CITANZ-0345,Membership extended to 17/03/2025,$30.00,Captured,"Mar 10, 2024, 9:53 AM"
4A8A6EDE,CITANZ-0277,Membership extended to 11/03/2025,$30.00,Captured,"Mar 6, 2024, 11:22 PM"
AE00AB4D,CITANZ-0427,Membership extended to 06/03/2025,$60.00,Captured,"Mar 6, 2024, 3:59 PM"
98C63568,CITANZ-0341,Membership extended to 14/03/2025,$60.00,Captured,"Mar 5, 2024, 5:08 PM"
E1420AA5,CITANZ-0426,Membership extended to 04/03/2025,$30.00,Captured,"Mar 4, 2024, 9:04 PM"
E1E95A8E,CITANZ-0425,Membership extended to 26/02/2025,$30.00,Captured,"Feb 27, 2024, 10:57 AM"
49A638FF,CITANZ-0330,Membership extended to 28/02/2025,$30.00,Captured,"Feb 26, 2024, 8:22 PM"
4FACE60D,CITANZ-0424,Membership extended to 23/02/2025,$30.00,Captured,"Feb 24, 2024, 5:54 PM"
3186A126,CITANZ-0423,Membership extended to 23/02/2025,$30.00,Captured,"Feb 24, 2024, 5:03 PM"
2484F59B,CITANZ-0328,Membership extended to 22/02/2025,$60.00,Captured,"Feb 23, 2024, 4:42 PM"
C2C75623,CITANZ-0422,Membership extended to 22/02/2025,$30.00,Captured,"Feb 23, 2024, 1:38 PM"
CA289BE7,CITANZ-0331,Membership extended to 03/03/2025,$30.00,Captured,"Feb 22, 2024, 9:35 PM"
E40586AB,CITANZ-0421,Membership extended to 19/02/2025,$30.00,Captured,"Feb 20, 2024, 6:15 PM"
87686427,CITANZ-0311,Membership extended to 15/02/2025,$60.00,Captured,"Feb 16, 2024, 10:31 PM"
C5D439D6,CITANZ-0420,Membership extended to 13/02/2025,$60.00,Captured,"Feb 14, 2024, 2:35 PM"
95EF5923,CITANZ-0337,Membership extended to 10/03/2025,$30.00,Captured,"Feb 10, 2024, 10:27 AM"
C111E45B,CITANZ-0419,Membership extended to 07/02/2025,$30.00,Captured,"Feb 8, 2024, 12:48 PM"
0BBD577A,CITANZ-0418,Membership extended to 01/02/2025,$30.00,Captured,"Feb 2, 2024, 10:15 AM"
2963BA27,CITANZ-0417,Membership extended to 27/01/2025,$30.00,Captured,"Jan 28, 2024, 10:15 PM"
ECDFEB0B,CITANZ-0416,Membership extended to 26/01/2025,$30.00,Captured,"Jan 27, 2024, 8:40 PM"
13B9ADF0,CITANZ-0166,Membership extended to 26/01/2025,$60.00,Captured,"Jan 27, 2024, 8:11 PM"
F256C9E7,CITANZ-0318,Membership extended to 26/01/2025,$60.00,Captured,"Jan 27, 2024, 6:38 PM"
7BD8D40B,CITANZ-0415,Membership extended to 26/01/2025,$60.00,Captured,"Jan 27, 2024, 12:32 PM"
A8D38B63,CITANZ-0320,Membership extended to 21/01/2025,$60.00,Captured,"Jan 22, 2024, 4:37 PM"
8BF168E9,CITANZ-0414,Membership extended to 01/01/2025,$30.00,Captured,"Jan 2, 2024, 9:27 PM"
5579A6E5,CITANZ-0323,Membership extended to 20/12/2024,$60.00,Captured,"Dec 14, 2023, 8:52 AM"
BCEF927B,CITANZ-0413,Membership extended to 12/12/2024,$60.00,Captured,"Dec 13, 2023, 9:20 PM"
58D99AC2,CITANZ-0412,Membership extended to 12/12/2024,$30.00,Captured,"Dec 13, 2023, 3:10 PM"
33375C25,CITANZ-0135,Membership extended to 11/12/2024,$60.00,Captured,"Dec 12, 2023, 3:22 PM"
DC015772,CITANZ-0173,Membership extended to 08/12/2024,$60.00,Captured,"Dec 9, 2023, 2:43 PM"
4BAA6AB3,CITANZ-0411,Membership extended to 05/12/2024,$30.00,Captured,"Dec 6, 2023, 8:59 AM"
DEAD8667,CITANZ-0317,Membership extended to 30/11/2024,$60.00,Captured,"Dec 1, 2023, 12:11 PM"
E9FF48DF,CITANZ-0315,Membership extended to 29/11/2024,$30.00,Captured,"Nov 27, 2023, 10:33 AM"
D6D38743,CITANZ-0410,Membership extended to 22/11/2024,$30.00,Captured,"Nov 23, 2023, 10:32 PM"
93933BBD,CITANZ-0409,Membership extended to 22/11/2024,$60.00,Captured,"Nov 23, 2023, 12:28 PM"
1D38594A,CITANZ-0276,Membership extended to 16/12/2024,$60.00,Captured,"Nov 20, 2023, 2:54 PM"
D33C864E,CITANZ-0298,Membership extended to 16/11/2024,$30.00,Captured,"Nov 17, 2023, 10:15 AM"
D5A9E51F,CITANZ-0408,Membership extended to 15/11/2024,$30.00,Captured,"Nov 16, 2023, 12:05 PM"
52EBB5D1,CITANZ-0243,Membership extended to 12/11/2024,$60.00,Captured,"Nov 13, 2023, 1:52 PM"
D948E13A,CITANZ-0011,Membership extended to 12/11/2024,$60.00,Captured,"Nov 13, 2023, 12:04 PM"
4A702B2F,CITANZ-0023,Membership extended to 12/11/2024,$60.00,Captured,"Nov 13, 2023, 10:29 AM"
52A0C01F,CITANZ-0171,Membership extended to 08/11/2024,$60.00,Captured,"Nov 9, 2023, 11:00 AM"
DDCC4E96,CITANZ-0207,Membership extended to 07/12/2024,$60.00,Captured,"Nov 8, 2023, 8:55 AM"
E4B9C7E2,CITANZ-0125,Membership extended to 06/12/2024,$60.00,Captured,"Nov 7, 2023, 10:22 AM"
6A0B1E75,CITANZ-0058,Membership extended to 05/11/2024,$60.00,Captured,"Nov 6, 2023, 10:12 PM"
A3881C40,CITANZ-0102,Membership extended to 02/11/2024,$60.00,Captured,"Nov 3, 2023, 2:53 PM"
DF7A57A5,CITANZ-0227,Membership extended to 02/11/2024,$60.00,Captured,"Nov 3, 2023, 1:06 PM"
0B1DD983,CITANZ-0271,Membership extended to 10/11/2024,$60.00,Captured,"Nov 3, 2023, 12:13 PM"
189D6AE4,CITANZ-0056,Membership extended to 02/11/2024,$60.00,Captured,"Nov 3, 2023, 12:10 PM"
38CA943C,CITANZ-0270,Membership extended to 02/11/2024,$60.00,Captured,"Nov 3, 2023, 6:58 AM"
C1F9CC26,CITANZ-0030,Membership extended to 31/10/2024,$60.00,Captured,"Nov 1, 2023, 11:02 AM"
07FDFAB6,CITANZ-0316,Membership extended to 30/11/2024,$30.00,Captured,"Nov 1, 2023, 9:58 AM"
DADED887,CITANZ-0274,Membership extended to 28/11/2024,$60.00,Captured,"Oct 31, 2023, 12:29 PM"
7D2B1097,CITANZ-0101,Membership extended to 29/10/2024,$60.00,Captured,"Oct 30, 2023, 8:33 PM"
260FDD5C,CITANZ-0312,Membership extended to 23/11/2024,$30.00,Captured,"Oct 30, 2023, 10:57 AM"
3F773744,CITANZ-0407,Membership extended to 29/10/2024,$30.00,Captured,"Oct 30, 2023, 9:49 AM"
FC123BDC,CITANZ-0406,Membership extended to 26/10/2024,$30.00,Captured,"Oct 27, 2023, 10:53 PM"
730FD4DB,CITANZ-0405,Membership extended to 25/10/2024,$60.00,Captured,"Oct 26, 2023, 10:48 PM"
5F6BA8D5,CITANZ-0254,Membership extended to 23/10/2024,$60.00,Captured,"Oct 24, 2023, 9:07 PM"
F288AF3C,CITANZ-0404,Membership extended to 21/10/2024,$30.00,Captured,"Oct 22, 2023, 10:19 PM"
F5727E95,CITANZ-0074,Membership extended to 20/10/2024,$60.00,Captured,"Oct 20, 2023, 7:32 AM"
7A8C88D6,CITANZ-0009,Membership extended to 17/10/2024,$60.00,Captured,"Oct 18, 2023, 10:32 PM"
3A710F2C,CITANZ-0038,Membership extended to 15/10/2024,$60.00,Captured,"Oct 16, 2023, 1:11 PM"
E1EDFFF9,CITANZ-0089,Membership extended to 15/10/2024,$30.00,Captured,"Oct 16, 2023, 10:16 AM"
74D63D58,CITANZ-0018,Membership extended to 13/10/2024,$60.00,Captured,"Oct 14, 2023, 9:43 AM"
4E16EE57,CITANZ-0041,Membership extended to 13/10/2024,$60.00,Captured,"Oct 12, 2023, 9:27 PM"
CA3E278C,CITANZ-0031,Membership extended to 24/10/2024,$60.00,Captured,"Oct 12, 2023, 9:26 PM"
